,Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating
0, on 03/07/13 12:29 PM (PST),deltasierra ,2013 Nissan NV Passenger Van 3500 SL 3dr Van (5.6L 8cyl 5A),Outstanding large family van," With the expected arrival of our 6th child, our Toyota Sienna minivan was going to be too small for our needs. The thought of diving a huge 12-passenger van did not appeal to us. The choices for a long time have pretty much been either Ford or Chevy, which have limited features, and the Mercedes van, while nice, is just too expensive. So we were very pleased to learn that Nissan has started selling 12-passenger vans, at about the same price as the Ford and Chevy vans. When we saw all the options available on the NV, we started to get more excited about it. And after about 2200 miles, we've been very pleased with it. It drives surprisingly well for a large van. I highly recommend the NV.",4.125
1, on 07/06/18 15:50 PM (PDT),Daniel r ,2015 Nissan NV Passenger Van 3500 SL 3dr Van (5.6L 8cyl 5A),Back ac suck, Rear ac blow to slow that my kid do not want to be in the back seat.,3
2, on 03/26/18 14:30 PM (PDT),Bobbie D. ,2015 Nissan NV Passenger Van 3500 SL 3dr Van (5.6L 8cyl 5A),we love ours!," This is not a small astro van type.You will need to navigate certain parking lots,spaces and drive fast food drive thrus .This is why we bought it because it is extra roomey!",5
3, on 05/14/16 09:50 AM (PDT),Joe Flash ,2015 Nissan NV Passenger Van 3500 SL 3dr Van (5.6L 8cyl 5A),My 2014 Nissan NVP SL review," I am very satisfied with my  2014 Nissan NV SL. I use this van for my business deliveries and personal use. Camping, road trips, etc. We dont have any children so I store most of the seats in my warehouse. I wanted the passenger van for the rear air conditioning. We drove our van from Florida to California for a Cross Country trip in 2014. We averaged about 18 mpg. We drove thru a lot of rain and It was a very comfortable and stable vehicle. The V8 Nissan Titan engine is a 500k mile engine. It has been tested many times by delivery and trucking companies. This is why Nissan gives you a 5 year or 100k mile bumper to bumper warranty. Many people are scared about driving this van because of its size. But with front and rear sonar sensors, large mirrors and the back up camera. It is easy to drive. The front and rear sensors also monitor the front and rear sides of the bumpers making it easier to park close to objects. Our Nissan NV is a Tow Monster. It pulls our 5000 pound travel trailer like its not even there. I have plenty of power to pass a vehicle if needed. The 5.6 liter engine produces 317 hp. I have owned Chevy and Ford vans and there were not very comfortable and had little cockpit room. The Nissan NV is the only vehicle made that has the engine forward like a pick up truck giving the driver plenty of room and comfort in the cockpit area. I dont have any negatives to say about my NV. This is a wide vehicle. The only modification I would like to see from Nissan is for them to add amber side mirror marker lights.BTW. I now own a 2016 Nissan NVP SL. Love it.",5
4, on 10/21/15 21:37 PM (PDT),Sam ,2015 Nissan NV Passenger Van 3500 S 3dr Van (5.6L 8cyl 5A),Not for a family," I went from a Honda Odyssey to this van since our family grew and we needed more room. we have all the kids in boosters or car seats. Here are the pros:* smooth drive*comfortable driver configurations (however the shift stick gets in the way of adjusting the ac.)* handles the road well* great warranty* people move out of your way and let you into the laneCons:* very wide turn which make it difficult to maneuver in shopping parking lots and carpool lanes at school* Ac has no power in the back since it is such a long run from the front* seats are poorly designed so car seats do not sit well and safely* they claim you can configure the seats in so many ways, but you can't and are limited to a few* essentially it is a truck with seats inside - *the cup holders are on the floor and there is no storage pockets or space so things fly all over the place, *the floors are uneven since they just put down padding in between the runners but once you use the van for a few month the padding starts to cave, * there are not enough car seat anchors so you are limited where you can put them, * the lights are poorly placed, * there is no rear controls for the ac only by the driver, *the seats don't move or recline at all.* there should be a second sliding door for easier access* the v8 drinks gas , I get only about 7-8 miles a gallon (I only have 4k miles on the van)* It is a very high step to get in and out and my little kids keep falling out of the vanThere needs to be a mom involved when they update this van or it won't sell well.",3
5, on 10/16/15 14:22 PM (PDT),Miriam ,2015 Nissan NV Passenger Van 3500 S 3dr Van (4.0L 6cyl 5A),Poor not a family vehicle.," I will not recommend this as a family vehicle. Ventilation is very poor especially in the back, your kids will sweat like a pig.",1
6, on 04/03/18 10:56 AM (PDT),Jeff Tobias ,2012 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Convertible with out the top down, Convertible with out the top down Overall I love this car. It is been very reliable and comfortable transportation. However as soon as the warranty expired the convertible top stopped working. The dealer laughed at me when they told me it would cost $13000 lto fix. I feel stuck with a car that has no trade-in value. They said it was the wiring harness and the switch for the convertible top  and that they had to remove the top to fix it and it might not refit and I would have to buy a whole new one.,3
7, on 03/05/14 18:55 PM (PST),hillbillydoc ,2012 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Fantastic all season car," I have had my 2011 Murano Crosscabriolet for 2 1/2 years, and 40,000 miles later I absolutely love it.This car is an extremely fun drive with the top down.With the top up, road noise is better than other convertibles that I have owned.Yes, the rear visibility is a bit diminished, but not terrible.There is some rattle from the window, but again this is common with many convertibles.The car is very comfortable to drive on road trips, and the interior and driver interfaces are top notch.I have driven this car in all conditions, including snow, and have been happy with the performance.",4.625
8, on 10/21/13 12:32 PM (PDT),gotopless ,2012 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Surprised," Much to my surprise..... I purchased as a surprise for my wife. She had seen one and loved it, the look of it anyway.... TOP DOWN is exceptional! comfortable, firm, solid and actually luxurious for a Nissan. Top up, different story. BLIND SPOTS are very bad! Poor design on the rear window. To remedy this I added magnifier mirrors on both sides to help correct the blind side problem. My wife LOVES her car and it is the only one she drives! (she has choices)",4.625
9, on 10/16/12 17:19 PM (PDT),925349 ,2012 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Reviewers just don't get it....," Ok, we have all seen the negative reviews. Actually, one negative review copied by a lot of others...that obviously, never drove the car!!This car is one of the GREAT ONES! It has every creature comfort, plenty of power,a great roadster look, ease of entry, great roominess in the comfortable back seats, and has led to one GREAT SUMMER OF FUN.At this time, you won't see many on the road because that one reviewer scared the masses, but he will be made to look as stupid as those that dissed on the MUSTANG and the CORVETTE when they first came public. We know how that turned out!Kudos to ...and anyone that thinks this looks like a jeep..get GLASSES. ;))Five Stars from CT!!!",5
10, on 05/22/12 12:04 PM (PDT),volvovespa ,2012 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Very impressed," So I bought the CrossCab as a quarter-life-crisis car.I live in central WI and this makes a great summer and winter driver (keeping my Volvo C30 as my every day chaser).I'm very impressed with the feel and preformance of this car, and the room!I read the 3 reviews on Edmunds for the 2011 and I was a bit nervous.The main complaints seemed to be: wind noise (umm... its a convertible), heavy doors (very typical of a coupe... especially in an suv package), windshield vibration (haven't experienced this), and rear visability with the top up (yes... this was one that bummed me out, but it wasn't as bad as I thought when I went on the test drive).If you like it, give it a shot.Its nice",4.875
11, on 03/12/12 15:21 PM (PDT),violinmom ,2012 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),A Perfect Choice," I have been searching for a car that would fill my needs for AWD but have a fun factor, have been driving a full sized SUV for years and was craving a sporty fun car..our climate tho requires AWD..really loved the idea of this cross cabriolet..was fun to drive in test drive, was roomy enough, sat up a little higher..had AWD..and i like that not everyone has one! but some online reviews had me a little concerned. well...I have had it for a month, and i adore it, was the perfect choice, i have no complaints at all, its really fun, looks cool, different and not common to see lots of them..all things i like.",4.875
12, on 01/25/16 08:49 AM (PST),Horacio_hornsby@yahoo.com ,2014 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Yfc, ,5
13, on 01/24/16 12:09 PM (PST),Larry Yeisley ,2014 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),"Owned 2 Cross Cabs---I'm 6'7"" and am comfortable!!"," Not for everyone. Fun to drive-- a tall man's sports car. Fun to drive,  gets plenty of great, positive comments. Best vehicle I have owned. Definitely not a good vehicle for a young family with small children.",4
14, on 11/18/14 05:53 AM (PST),met0430 ,2014 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Not made for cold weather states," I live in Philadelphis PA and have issues with the windows not working properly in the colder weather. The windows freeze and do not drop when opening and closing the doors. Therefore I need to start my car for at least 20 minutes in order to close my doors correctly. The vehicle was taken to the dealer and unfortunately I was told there was noting they could do. In conversation I had brought up an auto start, the associate agreed but the dealer does not install auto start and of course would be an expense I would be responsible for. So needless to say I am not happy with my purchase in regards to this issue.",3.5
15, on 12/18/13 04:06 AM (PST),mistakall ,2014 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Awesome Car," I purchased my vehicle about 4 days ago and I am loving every minute of it.It defenitly turns heads and I get compliments galore.I luv riding with my top down enjoying the breeze and openess getting plenty of Florida sunshine on me.I got all the bells and whistles so far my favorite is the bluetooth audio streaming now I can listen to all my favorite songs....lol...I got a great deal on my vehicle through my insurance company I saved over $10,000.00 no kidding so this was a steal for me.I wanted to purchase this on my 50th bday but couldn't afford it but now i'm the happiest i've ever been in a vehicle. ",5
16, on 07/29/13 15:57 PM (PDT),docentdon ,2014 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),NOT the ugliest car of the year," When the 2011 Cabriolet came out, it garnered horrible reviews. I have watched this different machine through 3 years of a boring lease on another foreign SUV all the time waiting until I could try the Murano Cabriolet. I am now proudly driving my beautiful comfortable 2014 Murano Cabriolet and getting comments like: ""Wow, what is it!"" ""Looks like an SUV on steroids."" ""Did you sell your house to buy that gorgeous thing?"" Easy comfort for 4 people with all the bells and whistles. And, most important, for us old codgers, easy in-and-out which ALL the other convertibles I tried were not. This will probably be my last car purchase and I am sure I will love it for years to come.",5
17, on 10/10/17 16:06 PM (PDT),8764marie@gmail.com ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Oh we LOVE IT!," People come up to us daily and just love our car. So much so that I contacted Nissan to give them some positive feedback and questioned why they stopped manufacturing this vehicle in 2014 as they are missing a huge opportunity for ""baby boomers""!",5
18, on 07/30/14 12:29 PM (PDT),kix66radio ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),Love it! Now own 2!," We bought our 2011 in July of 2012 and absolutely love it! We live in Anchorage Alaska where we normally have beautiful summers that are perfect for top down weather and cold winters.The convertible top on this car keepsout the cold weather in the winter plus the AWD is just what the doctor ordered for up here. A few times we would have the drivers window freeze and stick to the top if they had gotten wet. Other wise everthing else worked with no problems.We now own 2 of them, the 2011 is now mine and my wife has a new 2014 model!",4.875
19, on 06/11/14 17:06 PM (PDT),cdnbuyer1 ,2011 Nissan Murano CrossCabriolet SUV 2dr SUV AWD (3.5L 6cyl CVT),"Disappointed, frustrated  and at the end of my rope", Bought in 2012.Since then nothing but issues from the first week.At the outset there were several times it would not start.Window motors and regulators have been replaced; ignition starter; computer; electrical harness; passenger seat more than once; convertible top - nothing but problems - it is in again right now needing another new tray- best part is how long it will take to get the parts -months.I am a Canadian who bought a US vehicle at Cdn dealer and that means my only recourse is to sue.I would love to hear from anyone else with any issues with this type of vehicle.,2.125
